age;year;Danish_Origin;Immigrant
15-29;2000;914020;75654
30-49;2000;1429436;123948
50-79;2000;1509943;66175
15-29;2002;875870;82224
30-49;2002;1423384;135344
50-79;2002;1533639;71920
15-29;2004;843271;86065
30-49;2004;1420101;142855
50-79;2004;1562624;77873
15-29;2005;832833;86995
30-49;2005;1417205;146103
50-79;2005;1576849;80822
15-29;2006;824226;89739
30-49;2006;1414392;149096
50-79;2006;1592780;84057
15-29;2007;821997;93407
30-49;2007;1404822;153362
50-79;2007;1609119;87831
15-29;2008;826727;100742
30-49;2008;1395389;160332
50-79;2008;1626490;91522
15-29;2009;830782;109458
30-49;2009;1384148;169196
50-79;2009;1642744;96166
15-29;2010;839521;112644
30-49;2010;1372013;174311
50-79;2010;1659284;100497
15-29;2011;849480;116343
30-49;2011;1355425;180141
50-79;2011;1678005;105371
15-29;2012;860561;118889
30-49;2012;1334155;185459
50-79;2012;1697476;109914
15-29;2013;871668;121411
30-49;2013;1311904;191694
50-79;2013;1718173;115363
15-29;2014;883200;124769
30-49;2014;1283742;200502
50-79;2014;1742945;121472
15-29;2015;892937;128547
30-49;2015;1255688;211754
50-79;2015;1768024;128354
15-29;2016;901627;139000
30-49;2016;1227911;227042
50-79;2016;1793943;135721
15-29;2017;907500;144333
30-49;2017;1198748;239512
50-79;2017;1820915;142937
15-29;2018;912104;145844
30-49;2018;1176523;250026
50-79;2018;1840418;149972
15-29;2019;915069;143740
30-49;2019;1162579;259646
50-79;2019;1852083;157434
15-29;2020;916185;137886
30-49;2020;1153558;265250
50-79;2020;1860955;164223
15-29;2021;917605;128604
30-49;2021;1147591;271155
50-79;2021;1868463;171565
15-29;2022;917775;132060
30-49;2022;1137512;282688
50-79;2022;1877860;179375
15-29;2023;914015;142186
30-49;2023;1129177;306024
50-79;2023;1881892;193343
15-29;2024;911860;147227
30-49;2024;1124269;318128
50-79;2024;1880528;202383
15-29;2025;905485;153393
30-49;2025;1122102;329413
50-79;2025;1876234;211707
