Navn;Fødselsår;Dødår;Regeringsstart;Regeringsslutår
Gorm_den_gamle;NA;958;936;958
Harald_1;911;987;958;NA
Svend_1;963;1014;987;1014
Harald_2;NA;1018;1014;1018
Knud_1;995;1035;1018;1035
Hardeknud;1018;1042;1035;1042
Magnus;1024;1047;1042;1047
Svend_2;1019;1076;1047;1076
Harald_3;1040;1080;1076;1080
Knud_2;1042;1086;1080;1086
Oluf_1;1050;1095;1086;1095
Erik_1;1056;1103;1095;1103
Niels;1065;1134;1104;1134
Erik_2;1090;1137;1134;1137
Erik_3;1120;1146;1137;1146
Svend_3;1125;1157;1146;1157
Knud_3;NA;1157;1146;1157
Valdemar_1;1131;1182;1146;1182
Knud_4;1163;1202;1182;1202
Valdemar_2;1170;1241;1202;1241
Erik_4;1216;1250;1241;1250
Abel;1218;1252;1250;1252
Christoffer_1;1219;1259;1252;1259
Erik_5;1249;1286;1259;1286
Erik_6;1274;1319;1286;1319
Christoffer_2;1276;1332;1319;1326
Valdemar_3;1315;1364;1326;1329
Christoffer_2;1276;1332;1329;1332
Interregnum;NA;NA;1332;1340
Valdemar_4;1320;1370;1340;1375
Oluf_2;1370;1387;1375;1387
Magrete_1;1353;1412;1387;1396
Erik_7;1382;1459;1396;1439
Christoffer_3;1416;1448;1440;1448
Christian_1;1426;1481;1448;1481
Hans;1455;1513;1482;1513
Christian_2;1481;1559;1513;1523
Frederik_1;1471;1533;1523;1533
Interregnum;NA;NA;1533;1534
Christian_3;1503;1559;1534;1559
Frederik_2;1534;1588;1559;1588
Christian_4;1577;1648;1588;1648
Frederik_3;1609;1670;1648;1670
Christan_5;1646;1699;1670;1699
Frederik_4;1671;1730;1699;1730
Christian_6;1699;1746;1730;1746
Frederik_5;1723;1766;1746;1766
Christian_7;1749;1808;1766;1808
Frederik_6;1768;1839;1808;1839
Christian_8;1786;1848;1839;1848
Frederik_7;1808;1863;1848;1863
Christian_9;1818;1906;1863;1906
Frederik_8;1843;1912;1906;1912
Christian_10;1870;1947;1912;1947
Frederik_9;1899;1972;1947;1972
Margethe_2;1940;NA;1972;2024
Frederik_10;1968;NA;2024;NA
